"TABLE","emr","cert"
"clientId","96884","64798"
"clientId","96906","64799"
"clientId","96907","64800"
"clientId","96910","64801"
"clientId","96911","64802"
"clientId","96914","64803"
"clientId","96918","64804"
"clientId","96922","64805"
"clientId","96924","64806"
"clientId","96925","64807"
"clientId","96927","64808"
"clientId","96936","64809"
"clientId","96950","64810"
"clientId","96952","64811"
"clientId","96956","64812"
"clientId","96964","64813"
"clientId","96968","64814"
"clientId","96974","64815"
"clientId","96985","64816"
"clientId","96987","64817"
"clientId","96988","64818"
"clientId","96990","64819"
"clientId","96992","64820"
"clientId","96993","64821"
"clientId","96994","64822"
"clientId","96995","64823"
"clientId","96996","64824"
"clientId","96997","64825"
"clientId","96998","64826"
"clientId","96999","64827"
"clientId","97000","64828"
"clientId","97070","64829"
"clientId","97071","64830"
"clientId","97072","64831"
"clientId","97073","64832"
"clientId","97079","64833"
"clientId","97084","64834"
"clientId","97086","64835"
"clientId","97088","64836"
"clientId","97095","64837"
"clientId","97096","64838"
"clientId","97097","64839"
"clientId","97098","64840"
"clientId","97102","64841"
"clientId","97105","64842"
"clientId","97128","64843"
"clientId","97130","64844"
"clientId","97132","64845"
"clientId","97133","64846"
"clientId","97142","64847"
"clientId","97146","64848"
"clientId","97153","64849"
"clientId","97159","64850"
"clientId","97164","64851"
"clientId","97169","64852"
"clientId","97176","64853"
"clientId","97177","64854"
"clientId","97181","64855"
"clientId","97209","64856"
"clientId","97210","64857"
"clientId","97217","64858"
"clientId","97218","64859"
"clientId","97219","64860"
"clientId","97222","64861"
"clientId","97223","64862"
"clientId","97224","64863"
"clientId","97225","64864"
"clientId","97231","64865"
"clientId","97233","64866"
"clientId","97237","64867"
"clientId","97252","64868"
"clientId","97286","64869"
"clientId","97290","64870"
"clientId","97299","64871"
"clientId","97303","64872"
"clientId","97304","64873"
"clientId","97322","64874"
"clientId","97323","64875"
"clientId","97325","64876"
"clientId","97328","64877"
"clientId","97329","64878"
"clientId","97330","64879"
"clientId","97331","64880"
"clientId","97332","64881"
"clientId","97334","64882"
"clientId","97335","64883"
"clientId","97336","64884"
"clientId","97384","64885"
"clientId","97387","64886"
"clientId","97397","64887"
"clientId","97402","64888"
"clientId","97403","64889"
"clientId","97404","64890"
"clientId","97415","64891"
"clientId","97419","64892"
"clientId","97425","64893"
"clientId","97441","64894"
"clientId","97452","64895"
"clientId","97461","64896"
"clientId","97463","64897"
"clientId","97468","64898"
"clientId","97470","64899"
"clientId","97471","64900"
"clientId","97473","64901"
"clientId","97474","64902"
"clientId","97475","64903"
"clientId","97481","64904"
"clientId","97483","64905"
"clientId","97488","64906"
"clientId","97489","64907"
"clientId","97494","64908"
"clientId","97495","64909"
"clientId","97496","64910"
"clientId","97497","64911"
"clientId","97498","64912"
"clientId","97499","64913"
"clientId","97500","64914"
"clientId","97501","64915"
"clientId","97502","64916"
"clientId","97503","64917"
"clientId","97508","64918"
"clientId","97513","64919"
"clientId","97514","64920"
"clientId","97517","64921"
"clientId","97521","64922"
"clientId","97522","64923"
"clientId","97524","64924"
"clientId","97535","64925"
"clientId","97536","64926"
"clientId","97537","64927"
"clientId","97560","64928"
"clientId","97576","64929"
"clientId","97588","64930"
"clientId","97594","64931"
"clientId","97595","64932"
"clientId","97599","64933"
"clientId","97600","64934"
"clientId","97601","64935"
"clientId","97602","64936"
"clientId","97608","64937"
"clientId","97612","64938"
"clientId","97652","64939"
"clientId","97653","64940"
"clientId","97654","64941"
"clientId","97655","64942"
"clientId","97656","64943"
"clientId","97657","64944"
"clientId","97658","64945"
"clientId","97659","64946"
"clientId","97660","64947"
"clientId","97661","64948"
"clientId","97662","64949"
"clientId","97682","64950"
"clientId","97696","64951"
"clientId","97697","64952"
"clientId","97698","64953"
"clientId","97699","64954"
"clientId","97700","64955"
"clientId","97706","64956"
"clientId","97709","64957"
"clientId","97710","64958"
"clientId","97717","64959"
"clientId","97721","64960"
"clientId","97726","64961"
"clientId","97728","64962"
"clientId","97734","64963"
"clientId","97735","64964"
"clientId","97781","64965"
"clientId","97782","64966"
"clientId","97783","64967"
"clientId","97792","64968"
"clientId","97804","64969"
"clientId","97833","64970"
"clientId","97835","64971"
"clientId","97838","64972"
"clientId","97842","64973"
"clientId","97890","64974"
"clientId","97931","64975"
"clientId","97948","64976"
"clientId","97949","64977"
"clientId","97951","64978"
"clientId","97955","64979"
"clientId","97959","64980"
"clientId","97960","64981"
"clientId","97974","64982"
"clientId","97976","64983"
"clientId","97977","64984"
"clientId","97978","64985"
"clientId","97980","64986"
"clientId","97982","64987"
"clientId","97995","64988"
"clientId","97999","64989"
"clientId","98000","64990"
"clientId","98020","64991"
"clientId","98031","64992"
"clientId","98039","64993"
"clientId","98040","64994"
"clientId","98162","64995"
"clientId","98175","64996"
"clientId","98177","64997"
"clientId","98179","64998"
"clientId","98184","64999"
"clientId","98190","65000"
"clientId","98192","65001"
"clientId","98242","65002"
"clientId","98304","65003"
"clientId","98305","65004"
"sessionId","208769","176882"
"sessionId","208880","176883"
"sessionId","206191","176884"
"sessionId","206192","176885"
"sessionId","206211","176886"
"sessionId","206213","176887"
"sessionId","206216","176888"
"sessionId","206358","176889"
"sessionId","206363","176890"
"sessionId","206371","176891"
"sessionId","206373","176892"
"sessionId","206391","176893"
"sessionId","206392","176894"
"sessionId","206393","176895"
"sessionId","206395","176896"
"sessionId","206436","176897"
"sessionId","206437","176898"
"sessionId","206438","176899"
"sessionId","206439","176900"
"sessionId","206440","176901"
"sessionId","206441","176902"
"sessionId","206682","176903"
"sessionId","206690","176904"
"sessionId","206717","176905"
"sessionId","206720","176906"
"sessionId","206724","176907"
"sessionId","206752","176908"
"sessionId","206868","176909"
"sessionId","206879","176910"
"sessionId","206908","176911"
"sessionId","206975","176912"
"sessionId","206976","176913"
"sessionId","206989","176914"
"sessionId","206990","176915"
"sessionId","206994","176916"
"sessionId","207004","176917"
"sessionId","207014","176918"
"sessionId","207018","176919"
"sessionId","207027","176920"
"sessionId","207029","176921"
"sessionId","207136","176922"
"sessionId","207147","176923"
"sessionId","207162","176924"
"sessionId","207170","176925"
"sessionId","207171","176926"
"sessionId","207179","176927"
"sessionId","207190","176928"
"sessionId","207209","176929"
"sessionId","207210","176930"
"sessionId","207262","176931"
"sessionId","207300","176932"
"sessionId","207301","176933"
"sessionId","207303","176934"
"sessionId","207314","176935"
"sessionId","207318","176936"
"sessionId","207319","176937"
"sessionId","207331","176938"
"sessionId","207332","176939"
"sessionId","207333","176940"
"sessionId","207356","176941"
"sessionId","207365","176942"
"sessionId","207368","176943"
"sessionId","207396","176944"
"sessionId","207397","176945"
"sessionId","207409","176946"
