"TABLE","emr","cert"
"clientId","91616","64757"
"clientId","91657","64758"
"clientId","91705","64759"
"clientId","91707","64760"
"clientId","91709","64761"
"clientId","91710","64762"
"clientId","91836","64763"
"clientId","91837","64764"
"clientId","91885","64765"
"clientId","91886","64766"
"clientId","91887","64767"
"clientId","92009","64768"
"clientId","92011","64769"
"clientId","92012","64770"
"clientId","92082","64771"
"clientId","92083","64772"
"clientId","92084","64773"
"clientId","92086","64774"
"clientId","92138","64775"
"clientId","92146","64776"
"clientId","92197","64777"
"clientId","92290","64778"
"clientId","92291","64779"
"clientId","92292","64780"
"clientId","92293","64781"
"clientId","92294","64782"
"clientId","92295","64783"
"clientId","92296","64784"
"clientId","92297","64785"
"clientId","92298","64786"
"clientId","92299","64787"
"clientId","92319","64788"
"clientId","92418","64789"
"clientId","93047","64790"
"clientId","95622","64791"
"clientId","95812","64792"
"clientId","95820","64793"
"clientId","95856","64794"
"clientId","95857","64795"
"clientId","98250","64796"
"clientId","101358","64797"
"sessionId","187061","176830"
"sessionId","187210","176831"
"sessionId","187397","176832"
"sessionId","187398","176833"
"sessionId","187402","176834"
"sessionId","187404","176835"
"sessionId","187405","176836"
"sessionId","187863","176837"
"sessionId","187864","176838"
"sessionId","188130","176839"
"sessionId","188131","176840"
"sessionId","188143","176841"
"sessionId","188144","176842"
"sessionId","188145","176843"
"sessionId","188146","176844"
"sessionId","188709","176845"
"sessionId","188718","176846"
"sessionId","188722","176847"
"sessionId","188935","176848"
"sessionId","188936","176849"
"sessionId","188937","176850"
"sessionId","188940","176851"
"sessionId","188943","176852"
"sessionId","188944","176853"
"sessionId","189116","176854"
"sessionId","189133","176855"
"sessionId","189192","176856"
"sessionId","189370","176857"
"sessionId","189710","176858"
"sessionId","189711","176859"
"sessionId","189712","176860"
"sessionId","189713","176861"
"sessionId","189714","176862"
"sessionId","189715","176863"
"sessionId","189716","176864"
"sessionId","189717","176865"
"sessionId","189718","176866"
"sessionId","189719","176867"
"sessionId","189720","176868"
"sessionId","189721","176869"
"sessionId","189722","176870"
"sessionId","189723","176871"
"sessionId","189755","176872"
"sessionId","190131","176873"
"sessionId","190137","176874"
"sessionId","192627","176875"
"sessionId","201710","176876"
"sessionId","202265","176877"
"sessionId","202301","176878"
"sessionId","202412","176879"
"sessionId","209581","176880"
"sessionId","218837","176881"
"ipc","1","918089"
"ipc","2","691795"
"ipc","3","710124"
"ipc","4","600085"
"ipc","5","699288"
"ipc","6","600001"
"ipc","7","600086"
"ipc","8","719487"
"ipc","9","918211"
"ipc","10","686298"
"ipc","11","600087"
"ipc","12","918171"
"ipc","13","600088"
"ipc","14","719539"
"ipc","15","917689"
"ipc","16","697779"
"ipc","17","719475"
"ipc","18","686259"
"ipc","19","719450"
"ipc","20","917989"
"ipc","21","600089"
"ipc","22","600090"
"ipc","23","600091"
"ipc","24","600092"
"ipc","25","699285"
