"TABLE","emr","cert"
"clientId","20784","27767"
"clientId","20785","27768"
"clientId","20786","27769"
"clientId","20788","27770"
"clientId","20789","27771"
"clientId","20790","27772"
"clientId","20791","27773"
"clientId","20792","27774"
"clientId","20793","27775"
"clientId","20794","27776"
"clientId","20796","27777"
"clientId","20799","27778"
"clientId","20801","27779"
"clientId","20802","27780"
"clientId","21381","27781"
"clientId","21384","27782"
"clientId","21389","27783"
"clientId","21390","27784"
"clientId","21391","27785"
"clientId","21394","27786"
"clientId","21396","27787"
"clientId","21397","27788"
"clientId","21399","27789"
"clientId","21400","27790"
"clientId","21401","27791"
"clientId","21402","27792"
"clientId","21403","27793"
"clientId","21404","27794"
"clientId","21405","27795"
"clientId","21406","27796"
"clientId","21407","27797"
"clientId","21408","27798"
"clientId","21409","27799"
"clientId","21927","27800"
"clientId","21929","27801"
"clientId","21930","27802"
"clientId","21931","27803"
"clientId","21933","27804"
"clientId","21937","27805"
"clientId","21942","27806"
"clientId","21949","27807"
"clientId","22042","27808"
"clientId","22043","27809"
"clientId","22045","27810"
"clientId","22047","27811"
"clientId","22051","27812"
"clientId","22052","27813"
"clientId","22054","27814"
"clientId","22055","27815"
"clientId","22056","27816"
"clientId","22059","27817"
"clientId","22061","27818"
"clientId","22062","27819"
"clientId","22063","27820"
"clientId","22065","27821"
"clientId","22066","27822"
"clientId","22104","27823"
"clientId","22108","27824"
"clientId","22111","27825"
"clientId","22112","27826"
"clientId","22114","27827"
"clientId","22134","27828"
"clientId","22138","27829"
"clientId","22147","27830"
"clientId","22148","27831"
"clientId","22163","27832"
"clientId","22167","27833"
"clientId","22176","27834"
"clientId","22179","27835"
"clientId","22197","27836"
"clientId","22199","27837"
"clientId","22206","27838"
"clientId","22214","27839"
"clientId","22215","27840"
"clientId","22217","27841"
"clientId","22218","27842"
"clientId","22219","27843"
"clientId","22220","27844"
"clientId","22221","27845"
"clientId","22223","27846"
"clientId","22224","27847"
"clientId","22225","27848"
"clientId","22227","27849"
"clientId","22228","27850"
"clientId","22229","27851"
"clientId","22230","27852"
"clientId","22412","27853"
"clientId","22413","27854"
"clientId","22414","27855"
"clientId","22415","27856"
"clientId","22416","27857"
"clientId","22417","27858"
"clientId","22419","27859"
"clientId","22420","27860"
"clientId","22421","27861"
"clientId","22422","27862"
"clientId","22423","27863"
"clientId","22425","27864"
"clientId","22426","27865"
"clientId","22529","27866"
"clientId","22566","27867"
"clientId","22567","27868"
"clientId","22568","27869"
"clientId","22569","27870"
"clientId","22570","27871"
"clientId","22571","27872"
"clientId","22572","27873"
"clientId","22573","27874"
"clientId","22577","27875"
"clientId","22655","27876"
"clientId","22659","27877"
"clientId","22660","27878"
"clientId","22661","27879"
"clientId","22662","27880"
"clientId","22663","27881"
"clientId","22664","27882"
"clientId","22665","27883"
"clientId","22666","27884"
"clientId","22667","27885"
"clientId","22668","27886"
"clientId","22669","27887"
"clientId","22670","27888"
"clientId","22672","27889"
"clientId","22673","27890"
"clientId","22748","27891"
"clientId","22749","27892"
"clientId","22750","27893"
"clientId","22751","27894"
"clientId","22752","27895"
"clientId","22753","27896"
"clientId","22754","27897"
"clientId","22755","27898"
"clientId","22756","27899"
"clientId","22757","27900"
"clientId","22758","27901"
"clientId","22760","27902"
"clientId","22761","27903"
"clientId","22952","27904"
"clientId","22953","27905"
"clientId","22954","27906"
"clientId","22955","27907"
"clientId","22984","27908"
"clientId","22985","27909"
"clientId","22986","27910"
"clientId","23087","27911"
"clientId","23088","27912"
"clientId","23089","27913"
"clientId","23090","27914"
"clientId","23091","27915"
"clientId","23092","27916"
"clientId","23093","27917"
"clientId","23094","27918"
"clientId","23095","27919"
"clientId","23096","27920"
"clientId","23097","27921"
"clientId","23098","27922"
"clientId","23208","27923"
"clientId","23217","27924"
"clientId","23221","27925"
"clientId","23227","27926"
"clientId","23228","27927"
"clientId","23230","27928"
"clientId","23231","27929"
"clientId","23232","27930"
"clientId","23233","27931"
"clientId","23234","27932"
"clientId","23236","27933"
"clientId","23237","27934"
"clientId","23328","27935"
"clientId","23329","27936"
"clientId","23330","27937"
"clientId","23332","27938"
"clientId","23333","27939"
"clientId","23334","27940"
"clientId","23335","27941"
"clientId","23337","27942"
"clientId","23338","27943"
"clientId","23339","27944"
"clientId","23340","27945"
"clientId","23341","27946"
"clientId","23342","27947"
"clientId","23343","27948"
"clientId","23520","27949"
"clientId","23521","27950"
"clientId","23522","27951"
"clientId","23523","27952"
"clientId","23524","27953"
"clientId","23525","27954"
"clientId","23526","27955"
"clientId","23527","27956"
"clientId","23529","27957"
"clientId","23530","27958"
"clientId","23531","27959"
"clientId","23532","27960"
"clientId","23533","27961"
"clientId","23534","27962"
"clientId","23547","27963"
"clientId","23637","27964"
"clientId","23638","27965"
"clientId","23640","27966"
"clientId","23641","27967"
"clientId","23642","27968"
"clientId","23643","27969"
"clientId","23644","27970"
"clientId","23645","27971"
"clientId","23646","27972"
"clientId","23647","27973"
"clientId","23648","27974"
"clientId","23649","27975"
"clientId","23650","27976"
"clientId","23651","27977"
"clientId","23653","27978"
"clientId","23654","27979"
"clientId","23655","27980"
"clientId","23667","27981"
"clientId","23769","27982"
"clientId","23771","27983"
"clientId","23772","27984"
"clientId","23775","27985"
"clientId","23780","27986"
"clientId","23781","27987"
"clientId","23788","27988"
"clientId","23789","27989"
"clientId","23790","27990"
"clientId","23818","27991"
"clientId","23821","27992"
"clientId","23824","27993"
"clientId","23825","27994"
"clientId","23841","27995"
"clientId","23843","27996"
"clientId","23847","27997"
"clientId","23850","27998"
"clientId","23853","27999"
"clientId","23872","28000"
"clientId","23873","28001"
"clientId","23994","28002"
"clientId","23996","28003"
"clientId","24000","28004"
"clientId","24007","28005"
"clientId","24011","28006"
"clientId","24016","28007"
"clientId","24019","28008"
"clientId","24021","28009"
"clientId","24023","28010"
"clientId","24025","28011"
"clientId","24027","28012"
"clientId","24028","28013"
"clientId","24029","28014"
"clientId","24030","28015"
"clientId","24031","28016"
"clientId","24034","28017"
"clientId","25947","28018"
"clientId","26126","28019"
"clientId","26127","28020"
"clientId","26128","28021"
"clientId","26129","28022"
"clientId","26130","28023"
"clientId","26131","28024"
"clientId","26139","28025"
"clientId","26143","28026"
"clientId","26144","28027"
"clientId","26145","28028"
"clientId","26176","28029"
"clientId","26231","28030"
"clientId","26233","28031"
"clientId","26234","28032"
"clientId","26235","28033"
"clientId","26236","28034"
"clientId","26237","28035"
"clientId","26238","28036"
"clientId","26239","28037"
"clientId","26240","28038"
"clientId","26241","28039"
"clientId","26242","28040"
"clientId","26243","28041"
"clientId","26244","28042"
"clientId","26245","28043"
"clientId","26246","28044"
"clientId","26247","28045"
"clientId","26310","28046"
"clientId","26311","28047"
"clientId","26312","28048"
"clientId","26313","28049"
"clientId","26314","28050"
"clientId","26315","28051"
"clientId","26316","28052"
"clientId","26317","28053"
"clientId","26318","28054"
"clientId","26319","28055"
"clientId","26320","28056"
"clientId","26321","28057"
"clientId","26322","28058"
"clientId","26537","28059"
"clientId","26551","28060"
"clientId","26571","28061"
"clientId","26587","28062"
"clientId","26603","28063"
"clientId","26606","28064"
"clientId","26607","28065"
"clientId","26610","28066"
"clientId","26648","28067"
"clientId","26649","28068"
"clientId","26650","28069"
"clientId","26652","28070"
"clientId","26653","28071"
"clientId","26654","28072"
"clientId","26655","28073"
"clientId","26670","28074"
"clientId","26671","28075"
"clientId","26672","28076"
"clientId","26673","28077"
"clientId","26674","28078"
"clientId","26675","28079"
"clientId","26676","28080"
"clientId","26677","28081"
"clientId","26678","28082"
"clientId","26679","28083"
"clientId","26680","28084"
"clientId","26681","28085"
"clientId","26682","28086"
"clientId","26683","28087"
"clientId","26684","28088"
"clientId","26769","28089"
"clientId","26770","28090"
"clientId","26772","28091"
"clientId","26775","28092"
"clientId","26776","28093"
"clientId","26850","28094"
"clientId","26852","28095"
"clientId","26853","28096"
"clientId","26854","28097"
"clientId","26855","28098"
"clientId","26856","28099"
"clientId","26857","28100"
"clientId","26960","28101"
"clientId","26961","28102"
"clientId","26962","28103"
"clientId","26963","28104"
"clientId","26964","28105"
"clientId","26965","28106"
"clientId","27572","28107"
"clientId","27573","28108"
"clientId","27575","28109"
"clientId","27579","28110"
"clientId","27582","28111"
"clientId","27583","28112"
"clientId","27588","28113"
"clientId","27595","28114"
"clientId","27597","28115"
"clientId","27598","28116"
"clientId","27884","28117"
"clientId","27886","28118"
"clientId","27888","28119"
"clientId","27889","28120"
"clientId","27891","28121"
"clientId","27892","28122"
"clientId","27893","28123"
"clientId","27894","28124"
"clientId","27895","28125"
"clientId","27896","28126"
"clientId","27897","28127"
"clientId","27904","28128"
"clientId","27905","28129"
"clientId","28041","28130"
"clientId","28042","28131"
"clientId","28045","28132"
"clientId","28050","28133"
"clientId","28053","28134"
"clientId","28056","28135"
"clientId","28057","28136"
"clientId","28154","28137"
"clientId","28161","28138"
"clientId","28169","28139"
"clientId","28171","28140"
"clientId","28259","28141"
"clientId","28260","28142"
"clientId","28262","28143"
"clientId","28263","28144"
"clientId","28264","28145"
"clientId","28265","28146"
"clientId","28266","28147"
"clientId","28267","28148"
"clientId","28268","28149"
"clientId","28269","28150"
"clientId","28270","28151"
"clientId","28271","28152"
"clientId","28333","28153"
"clientId","28334","28154"
"clientId","28336","28155"
"clientId","28340","28156"
"clientId","28343","28157"
"clientId","28348","28158"
"clientId","28349","28159"
"clientId","28350","28160"
"clientId","28351","28161"
"clientId","28353","28162"
"clientId","28355","28163"
"clientId","28359","28164"
"clientId","28361","28165"
"clientId","28363","28166"
"clientId","28375","28167"
"clientId","28378","28168"
"clientId","28382","28169"
"clientId","28383","28170"
"clientId","28384","28171"
"clientId","28386","28172"
"clientId","28389","28173"
"clientId","28390","28174"
"clientId","28391","28175"
"clientId","28392","28176"
"clientId","28394","28177"
"clientId","28396","28178"
"clientId","28401","28179"
"clientId","28404","28180"
"clientId","28473","28181"
"clientId","28474","28182"
"clientId","28476","28183"
"clientId","28478","28184"
"clientId","28480","28185"
"clientId","28498","28186"
"clientId","28499","28187"
"clientId","28500","28188"
"clientId","28506","28189"
"clientId","28507","28190"
"clientId","28508","28191"
"clientId","28509","28192"
"clientId","28514","28193"
"clientId","28516","28194"
"clientId","28517","28195"
"clientId","28518","28196"
"clientId","28519","28197"
"clientId","28520","28198"
"clientId","28613","28199"
"clientId","28614","28200"
"clientId","28615","28201"
"clientId","28616","28202"
"clientId","28617","28203"
"clientId","28618","28204"
"clientId","28619","28205"
"clientId","28620","28206"
"clientId","28621","28207"
"clientId","28622","28208"
"clientId","28623","28209"
"clientId","28624","28210"
"clientId","28625","28211"
"clientId","28626","28212"
"clientId","28628","28213"
"clientId","28653","28214"
"clientId","28736","28215"
"clientId","28737","28216"
"clientId","28738","28217"
"clientId","28739","28218"
"clientId","28740","28219"
"clientId","28741","28220"
"clientId","28742","28221"
"clientId","28743","28222"
"clientId","28744","28223"
"clientId","28745","28224"
"clientId","28746","28225"
"clientId","28747","28226"
"clientId","28748","28227"
"clientId","28749","28228"
"clientId","28750","28229"
"clientId","28751","28230"
"clientId","28754","28231"
"clientId","28783","28232"
"clientId","28846","28233"
"clientId","28847","28234"
"clientId","28848","28235"
"clientId","28849","28236"
"clientId","28850","28237"
"clientId","28851","28238"
"clientId","28852","28239"
"clientId","28854","28240"
"clientId","28855","28241"
"clientId","28857","28242"
"clientId","28858","28243"
"clientId","28859","28244"
"clientId","28860","28245"
"clientId","28862","28246"
"clientId","28863","28247"
"clientId","28864","28248"
"clientId","28865","28249"
