"TABLE","emr","cert"
"clientId","4954","37978"
"clientId","101629","37979"
"clientId","101670","37980"
"clientId","102025","37981"
"clientId","102026","37982"
"sessionId","6554","139597"
"sessionId","24231","139598"
"sessionId","48600","139599"
"sessionId","200438","139600"
"sessionId","200862","139601"
"sessionId","200899","139602"
"sessionId","219442","139603"
"sessionId","219443","139604"
"sessionId","219536","139605"
"sessionId","219779","139606"
"sessionId","219926","139607"
"sessionId","220318","139608"
"sessionId","220320","139609"
"sessionId","220325","139610"
"sessionId","220333","139611"
"sessionId","220352","139612"
"sessionId","220377","139613"
"sessionId","220379","139614"
"sessionId","220381","139615"
"sessionId","220421","139616"
"sessionId","220461","139617"
"sessionId","220558","139618"
"sessionId","220640","139619"
"sessionId","220641","139620"
"sessionId","220746","139621"
"sessionId","220837","139622"
"sessionId","220838","139623"
"sessionId","220839","139624"
"sessionId","220849","139625"
"sessionId","220931","139626"
"sessionId","221114","139627"
"sessionId","221362","139628"
"sessionId","221363","139629"
"sessionId","221557","139630"
"sessionId","221558","139631"
"sessionId","221775","139632"
"sessionId","221847","139633"
"sessionId","221872","139634"
"sessionId","222004","139635"
"sessionId","222006","139636"
"sessionId","222094","139637"
"sessionId","222231","139638"
"sessionId","222234","139639"
"sessionId","222294","139640"
"sessionId","222324","139641"
"sessionId","222756","139642"
"sessionId","222763","139643"
"ipc","1","918089"
"ipc","2","691795"
"ipc","3","710124"
"ipc","4","600085"
"ipc","5","699288"
"ipc","6","600001"
"ipc","7","600086"
"ipc","8","719487"
"ipc","9","918211"
"ipc","10","686298"
"ipc","11","600087"
"ipc","12","918171"
"ipc","13","600088"
"ipc","14","719539"
"ipc","15","917689"
"ipc","16","697779"
"ipc","17","719475"
"ipc","18","686259"
"ipc","19","719450"
"ipc","20","917989"
"ipc","21","600089"
"ipc","22","600090"
"ipc","23","600091"
"ipc","24","600092"
"ipc","25","699285"
