"TABLE","emr","cert"
"clientId","44589","34155"
"clientId","44629","34156"
"clientId","44881","34157"
"clientId","44882","34158"
"clientId","44884","34159"
"clientId","44885","34160"
"clientId","44886","34161"
"clientId","44887","34162"
"clientId","44888","34163"
"clientId","44889","34164"
"clientId","44890","34165"
"clientId","44891","34166"
"clientId","44892","34167"
"clientId","44893","34168"
"clientId","44894","34169"
"clientId","44895","34170"
"clientId","44896","34171"
"clientId","44897","34172"
"clientId","44898","34173"
"clientId","44899","34174"
"clientId","44901","34175"
"clientId","44903","34176"
"clientId","44904","34177"
"clientId","44905","34178"
"clientId","44906","34179"
"clientId","44908","34180"
"clientId","44909","34181"
"clientId","44995","34182"
"clientId","44998","34183"
"clientId","45033","34184"
"clientId","45034","34185"
"clientId","45035","34186"
"clientId","45277","34187"
"clientId","45278","34188"
"clientId","45285","34189"
"clientId","45289","34190"
"clientId","45290","34191"
"clientId","45291","34192"
"clientId","45292","34193"
"clientId","45293","34194"
"clientId","45294","34195"
"clientId","45295","34196"
"clientId","45296","34197"
"clientId","45297","34198"
"clientId","45298","34199"
"clientId","45299","34200"
"clientId","45300","34201"
"clientId","45301","34202"
"clientId","45344","34203"
"clientId","45345","34204"
"clientId","45346","34205"
"clientId","45352","34206"
"clientId","45354","34207"
"clientId","45356","34208"
"clientId","45363","34209"
"clientId","45385","34210"
"clientId","45388","34211"
"clientId","45399","34212"
"clientId","45405","34213"
"clientId","45513","34214"
"clientId","45515","34215"
"clientId","45516","34216"
"clientId","45517","34217"
"clientId","45518","34218"
"clientId","45519","34219"
"clientId","45522","34220"
"clientId","45523","34221"
"clientId","45524","34222"
"clientId","45526","34223"
"clientId","45528","34224"
"clientId","45529","34225"
"clientId","45531","34226"
"clientId","45532","34227"
"clientId","45533","34228"
"clientId","45534","34229"
"clientId","45535","34230"
"clientId","45538","34231"
"clientId","45544","34232"
"clientId","45546","34233"
"clientId","45547","34234"
"clientId","45549","34235"
"clientId","45552","34236"
"clientId","45553","34237"
"clientId","45554","34238"
"clientId","45555","34239"
"clientId","45557","34240"
